Annee;Subdivision;Sexe;Age quinquennal 80;Population
1983;Iles Du Vent;Homme;Moins de 5 ans;7 851
1983;Iles Du Vent;Homme;5-9 ans;7 455
1983;Iles Du Vent;Homme;10-14 ans;7 573
1983;Iles Du Vent;Homme;15-19 ans;7 375
1983;Iles Du Vent;Homme;20-24 ans;6 117
1983;Iles Du Vent;Homme;25-29 ans;5 251
1983;Iles Du Vent;Homme;30-34 ans;4 468
1983;Iles Du Vent;Homme;35-39 ans;3 960
1983;Iles Du Vent;Homme;40-44 ans;3 434
1983;Iles Du Vent;Homme;45-49 ans;2 703
1983;Iles Du Vent;Homme;50-54 ans;2 216
1983;Iles Du Vent;Homme;55-59 ans;1 542
1983;Iles Du Vent;Homme;60-64 ans;1 035
1983;Iles Du Vent;Homme;65-69 ans;755
1983;Iles Du Vent;Homme;70-74 ans;484
1983;Iles Du Vent;Homme;75-79 ans;237
1983;Iles Du Vent;Homme;80 ans et plus;166
1983;Iles Du Vent;Femme;Moins de 5 ans;7 321
1983;Iles Du Vent;Femme;5-9 ans;7 317
1983;Iles Du Vent;Femme;10-14 ans;7 520
1983;Iles Du Vent;Femme;15-19 ans;7 268
1983;Iles Du Vent;Femme;20-24 ans;5 759
1983;Iles Du Vent;Femme;25-29 ans;5 265
1983;Iles Du Vent;Femme;30-34 ans;4 504
1983;Iles Du Vent;Femme;35-39 ans;3 663
1983;Iles Du Vent;Femme;40-44 ans;3 011
1983;Iles Du Vent;Femme;45-49 ans;2 480
1983;Iles Du Vent;Femme;50-54 ans;1 962
1983;Iles Du Vent;Femme;55-59 ans;1 482
1983;Iles Du Vent;Femme;60-64 ans;978
1983;Iles Du Vent;Femme;65-69 ans;783
1983;Iles Du Vent;Femme;70-74 ans;569
1983;Iles Du Vent;Femme;75-79 ans;357
1983;Iles Du Vent;Femme;80 ans et plus;208
1983;Iles Sous-Le-Vent;Homme;Moins de 5 ans;1 356
1983;Iles Sous-Le-Vent;Homme;5-9 ans;1 356
1983;Iles Sous-Le-Vent;Homme;10-14 ans;1 422
1983;Iles Sous-Le-Vent;Homme;15-19 ans;1 263
1983;Iles Sous-Le-Vent;Homme;20-24 ans;777
1983;Iles Sous-Le-Vent;Homme;25-29 ans;637
1983;Iles Sous-Le-Vent;Homme;30-34 ans;532
1983;Iles Sous-Le-Vent;Homme;35-39 ans;474
1983;Iles Sous-Le-Vent;Homme;40-44 ans;435
1983;Iles Sous-Le-Vent;Homme;45-49 ans;416
1983;Iles Sous-Le-Vent;Homme;50-54 ans;341
1983;Iles Sous-Le-Vent;Homme;55-59 ans;297
1983;Iles Sous-Le-Vent;Homme;60-64 ans;229
1983;Iles Sous-Le-Vent;Homme;65-69 ans;164
1983;Iles Sous-Le-Vent;Homme;70-74 ans;142
1983;Iles Sous-Le-Vent;Homme;75-79 ans;56
1983;Iles Sous-Le-Vent;Homme;80 ans et plus;34
1983;Iles Sous-Le-Vent;Femme;Moins de 5 ans;1 280
1983;Iles Sous-Le-Vent;Femme;5-9 ans;1 259
