Annee;Sexe;AgeQ80;PopulationEstimee
2017;1;Moins de 5 ans;10079,21252
2017;2;Moins de 5 ans;9381,884679
2017;1;05-09 ans;11174,45195
2017;2;05-09 ans;10686,91269
2017;1;10-14 ans;11224,22021
2017;2;10-14 ans;10590,40637
2017;1;15-19 ans;11539,11367
2017;2;15-19 ans;11001,0302
2017;1;20-24 ans;10176,30148
2017;2;20-24 ans;9696,130697
2017;1;25-29 ans;11055,15541
2017;2;25-29 ans;11054,98847
2017;1;30-34 ans;11005,59747
2017;2;30-34 ans;11297,53048
2017;1;35-39 ans;10224,49753
2017;2;35-39 ans;10096,55958
2017;1;40-44 ans;10018,88358
2017;2;40-44 ans;9757,991214
2017;1;45-49 ans;10234,76442
2017;2;45-49 ans;9601,137836
2017;1;50-54 ans;9405,73531
2017;2;50-54 ans;8845,680945
2017;1;55-59 ans;7531,303679
2017;2;55-59 ans;6915,469522
2017;1;60-64 ans;6150,53542
2017;2;60-64 ans;5755,489841
2017;1;65-69 ans;4121,261944
2017;2;65-69 ans;3972,768259
2017;1;70-74 ans;3000,701263
2017;2;70-74 ans;2963,610104
2017;1;75-79 ans;1927,834157
2017;2;75-79 ans;2074,207578
2017;1;80 ans et plus;1538,165843
2017;2;80 ans et plus;2188,775947
2018;1;Moins de 5 ans;9768,525535
2018;2;Moins de 5 ans;9265,001647
2018;1;05-09 ans;11210,08402
2018;2;05-09 ans;10339,72982
2018;1;10-14 ans;11178,39209
2018;2;10-14 ans;10720,23229
2018;1;15-19 ans;11621,95552
2018;2;15-19 ans;11072,11862
2018;1;20-24 ans;9851,83855
2018;2;20-24 ans;9357,731466
2018;1;25-29 ans;10699,37397
2018;2;25-29 ans;10750,70016
2018;1;30-34 ans;11200,20099
2018;2;30-34 ans;11490,79242
2018;1;35-39 ans;10386,93575
2018;2;35-39 ans;10370,21582
2018;1;40-44 ans;9931,306425
2018;2;40-44 ans;9728,438221
2018;1;45-49 ans;10074,87479
2018;2;45-49 ans;9607,250412
2018;1;50-54 ans;9625,4514
2018;2;50-54 ans;9066,037891
2018;1;55-59 ans;7876,228995
2018;2;55-59 ans;7311,207578
2018;1;60-64 ans;6322,920923
2018;2;60-64 ans;5820,069193
2018;1;65-69 ans;4339,810544
2018;2;65-69 ans;4187,308072
2018;1;70-74 ans;3086,899506
2018;2;70-74 ans;3076,196046
2018;1;75-79 ans;2026,021417
2018;2;75-79 ans;2156,397035
2018;1;80 ans et plus;1634,70346
2018;2;80 ans et plus;2289,449753
2019;1;Moins de 5 ans;9503,83855
2019;2;Moins de 5 ans;8949,118616
2019;1;05-09 ans;10981,71609
2019;2;05-09 ans;10215,54695
2019;1;10-14 ans;11316,56398
2019;2;10-14 ans;10761,05821
2019;1;15-19 ans;11331,79736
2019;2;15-19 ans;10961,20703
2019;1;20-24 ans;9845,375618
2019;2;20-24 ans;9246,332235
2019;1;25-29 ans;10483,59253
2019;2;25-29 ans;10472,41186
2019;1;30-34 ans;11198,8045
2019;2;30-34 ans;11481,05437
2019;1;35-39 ans;10668,37397
2019;2;35-39 ans;10669,87205
2019;1;40-44 ans;9848,72927
2019;2;40-44 ans;9725,885228
2019;1;45-49 ans;9963,985173
2019;2;45-49 ans;9647,362987
2019;1;50-54 ans;9722,16749
2019;2;50-54 ans;9144,394838
2019;1;55-59 ans;8150,154311
2019;2;55-59 ans;7662,945634
2019;1;60-64 ans;6514,306425
2019;2;60-64 ans;6002,648545
2019;1;65-69 ans;4607,359143
2019;2;65-69 ans;4408,847886
2019;1;70-74 ans;3191,097748
2019;2;70-74 ans;3227,781988
2019;1;75-79 ans;2147,208677
2019;2;75-79 ans;2251,586491
2019;1;80 ans et plus;1751,693575
2019;2;80 ans et plus;2381,097748
2020;1;Moins de 5 ans;9437,042834
2020;2;Moins de 5 ans;8785,131796
2020;1;05-09 ans;10566,38825
2020;2;05-09 ans;9884,385502
2020;1;10-14 ans;11423,70071
2020;2;10-14 ans;10817,91653
2020;1;15-19 ans;11003,44152
2020;2;15-19 ans;10784,15596
2020;1;20-24 ans;9910,08402
2020;2;20-24 ans;9324,183965
2020;1;25-29 ans;10188,58429
2020;2;25-29 ans;10149,01318
2020;1;30-34 ans;11233,41241
2020;2;30-34 ans;11397,39374
2020;1;35-39 ans;10855,85997
2020;2;35-39 ans;10928,59857
2020;1;40-44 ans;9903,18067
2020;2;40-44 ans;9745,390994
2020;1;45-49 ans;9880,983526
2020;2;45-49 ans;9736,366282
2020;1;50-54 ans;9840,778693
2020;2;50-54 ans;9234,697968
2020;1;55-59 ans;8300,986271
2020;2;55-59 ans;7889,60626
2020;1;60-64 ans;6754,673806
2020;2;60-64 ans;6245,202087
